"ENTREZID","SYMBOL","distanceToTSS","annotation","fold_change"
"395","ARHGAP6",0,"Promoter (<=1kb)",1.33421682985609
"84973","SNHG7",-699,"Promoter (<=1kb)",1.33366191725307
"339451","KLHL17",138,"Promoter (<=1kb)",1.33259477559943
"84894","LINGO1",15672,"Intron (ENST00000355300.7/84894, intron 1 of 1)",1.33201406856157
"6469","SHH",-20204,"Distal Intergenic",1.33195868545664
"107986547","LOC107986547",-5375,"Distal Intergenic",1.33133992061776
"100422966","MIR4277",-15278,"Distal Intergenic",1.3312214389419
"105369378","PDE2A-AS2",1156,"Promoter (1-2kb)",1.3311134110595
"247","ALOX15B",7026,"Intron (ENST00000572022.5/247, intron 8 of 13)",1.32949628820985
"10501","SEMA6B",2172,"Promoter (2-3kb)",1.32925363286164
"731779","LINC01300",4250,"Distal Intergenic",1.32892097099716
"158062","LCN6",0,"Promoter (<=1kb)",1.32794143453102
"4145","MATK",-101,"Promoter (<=1kb)",1.32649435686268
"100422968","MIR4251",-22150,"Intron (ENST00000511072.5/63976, intron 1 of 15)",1.3262028668932
"4355","MPP2",-64,"Promoter (<=1kb)",1.32561783470814
"101928483","NALT1",1368,"Promoter (1-2kb)",1.32523676174252
"93622","MRFAP1L2",-4660,"Intron (ENST00000645429.1/93622, intron 2 of 2)",1.32475898000432
"105372720","KCNQ2-AS1",417,"Promoter (<=1kb)",1.32463802934621
"5979","RET",8261,"Intron (ENST00000671844.1/5979, intron 9 of 15)",1.3242373232732
"26038","CHD5",2948,"Promoter (2-3kb)",1.32421535454546
"155382","VPS37D",-20824,"Distal Intergenic",1.3236254806405
"489","ATP2A3",571,"Promoter (<=1kb)",1.32357551625304
"80834","TAS1R2",38530,"Distal Intergenic",1.32355166368458
"80162","PGGHG",-133,"Promoter (<=1kb)",1.32266492309233
"8646","CHRD",756,"Promoter (<=1kb)",1.32247299145964
"148345","C1orf127",18,"Promoter (<=1kb)",1.32241059340424
"55229","PANK4",-757,"Promoter (<=1kb)",1.32232599095462
"610","HCN2",12670,"Intron (ENST00000251287.3/610, intron 1 of 7)",1.32186047260057
"221002","RASGEF1A",3009,"Intron (ENST00000395810.6/221002, intron 1 of 12)",1.32170608187375
"79661","NEIL1",0,"Promoter (<=1kb)",1.32139962921389
"57582","KCNT1",3747,"Exon (ENST00000675102.1/57582, exon 3 of 3)",1.32088079436521
"2020","EN2",-1761,"Promoter (1-2kb)",1.32043136779952
"3589","IL11",183,"Promoter (<=1kb)",1.32040506255416
"54991","C1orf159",-8482,"Distal Intergenic",1.32007835092934
"57582","KCNT1",2253,"Promoter (2-3kb)",1.32001065553211
"105374339","LOC105374339",972,"Promoter (<=1kb)",1.31965114914734
"140625","ACTRT2",15194,"Distal Intergenic",1.31961230983612
"4089","SMAD4",-10937,"Intron (ENST00000590722.2/4089, intron 2 of 8)",1.31957493508956
"4661","MYT1",1787,"Promoter (1-2kb)",1.31927773083343
"100616426","MIR4694",-6216,"Intron (ENST00000360655.8/89797, intron 1 of 37)",1.31915167425923
"2125","EVPL",-1946,"Promoter (1-2kb)",1.31906232675366
"50632","CALY",1891,"Promoter (1-2kb)",1.31855461615664
"79444","BIRC7",176,"Promoter (<=1kb)",1.31772503062051
"284207","METRNL",8912,"Distal Intergenic",1.31769330502957
"101928638","LINC02692",-6047,"Distal Intergenic",1.31707807345835
"5995","RGR",0,"Promoter (<=1kb)",1.31383222155897
"64856","VWA1",2709,"Promoter (2-3kb)",1.31372871424361
"114783","LMTK3",905,"Promoter (<=1kb)",1.31360797357258
"64711","HS3ST6",4907,"Intron (ENST00000454677.3/64711, intron 1 of 1)",1.31311013138005
"1271","CNTFR",1382,"Promoter (1-2kb)",1.3130678905606
"109617007","SNORA63E",25191,"Distal Intergenic",1.31225996971404
"283999","TMEM235",757,"Promoter (<=1kb)",1.31200865815177
"85452","CFAP74",2004,"Promoter (2-3kb)",1.31038869719815
"5339","PLEC",2775,"Promoter (2-3kb)",1.31028568067949
"104326051","MAFA-AS1",-10973,"Distal Intergenic",1.30970157947435
"93659","CGB5",0,"Promoter (<=1kb)",1.30969658886414
"54549","SDK2",-19021,"Intron (ENST00000392650.8/54549, intron 29 of 44)",1.30942614915925
"54207","KCNK10",-960,"Promoter (<=1kb)",1.30922910435671
"10815","CPLX1",1667,"Promoter (1-2kb)",1.3091736899685
"2049","EPHB3",13615,"Distal Intergenic",1.30910654953599
"57332","CBX8",-71,"Promoter (<=1kb)",1.30908832791598
"105371479","ABR-AS1",-377,"Promoter (<=1kb)",1.30858267677745
"94015","TTYH2",702,"Promoter (<=1kb)",1.30750718017541
"59284","CACNG7",-615,"Promoter (<=1kb)",1.30724741337351
"5979","RET",5864,"Intron (ENST00000671844.1/5979, intron 8 of 15)",1.30642406699838
"57492","ARID1B",-10504,"Distal Intergenic",1.30622796451935
"646960","PRSS56",674,"Promoter (<=1kb)",1.30616617929012
"10555","AGPAT2",-2597,"Promoter (2-3kb)",1.30506009417585
"84894","LINGO1",455,"Promoter (<=1kb)",1.3049185769145
"65268","WNK2",-14446,"Intron (ENST00000297954.9/65268, intron 2 of 30)",1.30488200936107
"645191","LINGO3",1423,"Promoter (1-2kb)",1.30480527519668
"84814","PLPP7",8845,"Intron (ENST00000645295.1/105376299, intron 1 of 4)",1.3045347419394
"3293","HSD17B3",8697,"3' UTR",1.30431544397121
"2843","GPR20",5943,"Intron (ENST00000377741.4/2843, intron 1 of 1)",1.30418240331425
"27134","TJP3",-3761,"Intron (ENST00000541714.7/27134, intron 13 of 20)",1.30295582390183
"440292","COMMD4P1",2559,"Promoter (2-3kb)",1.30192968235708
"10882","C1QL1",-9062,"Intron (ENST00000678938.1/4836, intron 1 of 11)",1.30156824703152
"27112","NALF2",1825,"Promoter (1-2kb)",1.3014485880042
"105372957","LOC105372957",231,"Promoter (<=1kb)",1.30127558552401
"146802","SLC47A2",0,"Promoter (<=1kb)",1.30117906062123
"492","ATP2B3",-1980,"Promoter (1-2kb)",1.30092111455773
"348645","MIR3667HG",-3111,"Intron (ENST00000414287.5/348645, intron 1 of 4)",1.30072385120288
"574538","LOC574538",-6554,"Intron (ENST00000538872.6/440073, intron 5 of 13)",1.29992785866225
"222962","SLC29A4",159,"Promoter (<=1kb)",1.29946558448107
"1589","CYP21A2",689,"Promoter (<=1kb)",1.29936473921251
