"ENTREZID","SYMBOL","distanceToTSS","annotation","fold_change","p_value","FDR"
"84343","HPS3",3854,"Intron (ENST00000462030.5/84343, intron 1 of 6)",1.73553161560136,2.02371956699503e-12,6.72243477469327e-11
"101927421","LOC101927421",46960,"Intron (ENST00000647105.1/101927421, intron 3 of 6)",1.73109426527953,1.00680700753861e-10,1.98213848032015e-09
"6695","SPOCK1",-78502,"Intron (ENST00000394945.6/6695, intron 5 of 10)",1.72907142571385,5.14163460188941e-14,2.98508173448432e-12
"4233","MET",4587,"Exon (ENST00000318493.11/4233, exon 15 of 21)",1.72859780335195,5.95290717631434e-17,8.58862346564815e-15
"22823","MTF2",0,"Promoter (<=1kb)",1.72603193013247,1.08781068117105e-13,5.50540416206282e-12
"101926925","LINC01358",15130,"Intron (ENST00000634502.1/101926925, intron 12 of 13)",1.72530317748563,2.77619346731845e-09,3.3069715529062e-08
"100302159","MIR548F3",34631,"Intron (ENST00000508571.6/642987, intron 5 of 5)",1.72200776558375,1.77769270728243e-07,1.18716669007043e-06
"645323","LINC00461",55076,"Intron (ENST00000506978.5/645323, intron 3 of 6)",1.72068070759264,8.35229378344202e-08,6.19288348688139e-07
"302","ANXA2",0,"Promoter (<=1kb)",1.72035215585644,2.5852140007533e-26,6.24749278457044e-23
"374","AREG",-15592,"Intron (ENST00000508581.1/ENST00000508581.1, intron 1 of 1)",1.719940712086,2.10689474353034e-16,2.52997491159454e-14
"105375860","LOC105375860",-11636,"Intron (ENST00000653946.1/105375859, intron 2 of 2)",1.71856140148504,2.22706834686529e-10,3.85805666218159e-09
"63971","KIF13A",76953,"Intron (ENST00000378814.9/63971, intron 2 of 37)",1.71801606574177,1.24033642806817e-16,1.59862827758946e-14
"56995","TULP4",1268,"Promoter (1-2kb)",1.71366102045658,6.15781278275188e-15,4.85914263383437e-13
"101927460","LINC02240",-78863,"Exon (ENST00000655986.1/ENST00000655986.1, exon 1 of 2)",1.70850407247556,1.3495564509248e-20,6.68999355531517e-18
"57224","NHSL1",0,"Promoter (<=1kb)",1.70776254026889,1.70064949052565e-12,5.77832277685981e-11
"107984352","LOC107984352",578,"Promoter (<=1kb)",1.70702959711435,1.31069040550572e-09,1.74035560505784e-08
"8829","NRP1",-9506,"Intron (ENST00000374875.5/8829, intron 2 of 15)",1.70590939567899,1.12854054417129e-10,2.17745252898838e-09
"10165","SLC25A13",3445,"Intron (ENST00000265631.10/10165, intron 1 of 17)",1.70357368444427,1.23774928292519e-16,1.59862827758946e-14
"7019","TFAM",49341,"Distal Intergenic",1.69773726972916,2.5621691646321e-14,1.65114721532775e-12
"103344926","PYDC2-AS1",205908,"Distal Intergenic",1.69646731161391,3.16959992110515e-10,5.21330828138915e-09
"105379385","LOC105379385",40410,"Distal Intergenic",1.69618557724855,1.39358858661079e-07,9.69843345750414e-07
