"ENTREZID","SYMBOL","distanceToTSS","annotation","fold_change","p_value","FDR"
"9554","SEC22B",-1595,"Promoter (1-2kb)",1.34991847865949,1.54645834021643e-08,1.4513436452138e-07
"10565","ARFGEF1",2864,"Promoter (2-3kb)",1.34981967357266,6.83199905259744e-09,7.15897223218788e-08
"107986989","GLIS3-AS2",0,"Promoter (<=1kb)",1.34975739927007,2.66778622926202e-18,6.2897940451613e-16
"1962","EHHADH",852,"Promoter (<=1kb)",1.34939921004956,9.43370158552788e-08,6.86161598017346e-07
"95681","CEP41",-2609,"Promoter (2-3kb)",1.34918027935782,1.56051988532322e-08,1.46241061284314e-07
"10644","IGF2BP2",0,"Promoter (<=1kb)",1.34901543989739,1.62389887552442e-12,5.55660831159534e-11
"101929709","RIPK2-DT",0,"Promoter (<=1kb)",1.34683493708037,1.83068366073295e-07,1.2174959481579e-06
"105375957","LOC105375957",-240,"Promoter (<=1kb)",1.34615206080146,3.49405452262004e-08,2.93825820294968e-07
"219790","RTKN2",1775,"Promoter (1-2kb)",1.34598502779194,5.92926886790711e-09,6.3472068119185e-08
"9683","N4BP1",-1145,"Promoter (1-2kb)",1.34574111850076,3.16837231760115e-10,5.21330828138915e-09
"8418","CMAHP",0,"Promoter (<=1kb)",1.34384486792464,3.08909281915076e-08,2.64957548680753e-07
"1794","DOCK2",0,"Promoter (<=1kb)",1.34349315137505,6.80588135794181e-15,5.32329549375768e-13
"7402","UTRN",0,"Promoter (<=1kb)",1.34258552338115,1.09464296704764e-10,2.12051427674669e-09
"105375645","RBM12B-DT",0,"Promoter (<=1kb)",1.33936312048714,1.17916076813883e-06,6.10190447816593e-06
"5550","PREP",0,"Promoter (<=1kb)",1.33816396242421,3.57262884569656e-17,5.57013173176223e-15
"57522","SRGAP1",0,"Promoter (<=1kb)",1.33769232607222,8.94886100643744e-11,1.78359102925211e-09
"54828","BCAS3",1315,"Promoter (1-2kb)",1.33743171416063,6.07186434180319e-07,3.42536776539484e-06
"27044","SND1",0,"Promoter (<=1kb)",1.33661828699545,7.59368895605074e-07,4.16478832871855e-06
"6310","ATXN1",0,"Promoter (<=1kb)",1.33579671637241,2.00805283685867e-09,2.5078608200897e-08
"824","CAPN2",1000,"Promoter (<=1kb)",1.33495704399079,6.3003112357319e-08,4.8604915052037e-07
"84675","TRIM55",1345,"Promoter (1-2kb)",1.33441382014635,1.85200527111589e-13,8.66944743498388e-12
"5412","UBL3",0,"Promoter (<=1kb)",1.32932373281255,1.367930434712e-09,1.80766911102441e-08
"25937","WWTR1",0,"Promoter (<=1kb)",1.32694345884711,1.0652700951462e-08,1.04808482185554e-07
"23253","ANKRD12",0,"Promoter (<=1kb)",1.32689004890464,1.6001059849553e-08,1.49443715010342e-07
"10301","DLEU1",0,"Promoter (<=1kb)",1.32587273509404,1.84843932085477e-10,3.32642873896449e-09
"102466616","MIR6132",0,"Promoter (<=1kb)",1.32558970935074,4.43752071134584e-14,2.63161312614875e-12
"57584","ARHGAP21",0,"Promoter (<=1kb)",1.3243015057702,4.81412212750086e-07,2.80626834320702e-06
"100506674","MRPS30-DT",0,"Promoter (<=1kb)",1.32163411211744,3.70176470176512e-07,2.2385429145832e-06
"84947","SERAC1",-1734,"Promoter (1-2kb)",1.32125454184337,7.08216522570049e-07,3.90975157933945e-06
"11069","RAPGEF4",2071,"Promoter (2-3kb)",1.32021266494184,2.50957363862445e-07,1.59912943821775e-06
"253461","ZBTB38",0,"Promoter (<=1kb)",1.31716333043623,1.38796405648624e-10,2.58511648401237e-09
"105377663","LOC105377663",0,"Promoter (<=1kb)",1.31621734526692,1.6807686415048e-13,7.90615575333631e-12
"22902","RUFY3",0,"Promoter (<=1kb)",1.31413512239798,1.10433259843195e-08,1.07937624496891e-07
