Length	FoldEnrichment
1440	5.32365
2484	5.73387
5205	7.9599
1437	5.08348
13265	5.26059
1910	5.11729
2624	5.22688
1076	8.40872
1092	6.13409
1119	5.06039
5985	5.13137
7900	5.06468
2581	6.75089
1068	5.29331
3416	6.93143
1001	5.34081
1362	5.68452
1904	5.86384
2946	6.03909
6315	5.54329
2396	6.84314
1379	7.76103
1120	5.1146
1687	6.41313
7005	10.1432
1136	8.2127
1384	6.29233
2975	5.19665
1778	7.29251
1100	5.45346
1696	5.46166
1154	6.59352
4064	5.77538
9133	5.15351
1293	5.49839
1440	6.03475
2547	5.08855
4648	5.26714
1762	5.66748
1020	5.01624
1011	5.68589
1573	5.70362
1134	5.91454
1352	5.23214
1265	5.04629
1253	5.00592
1294	5.72214
1267	6.16289
3393	6.73324
1447	5.37316
1832	9.14515
2002	5.31221
1113	6.96438
1723	5.21949
4027	5.71626
1244	7.87773
11022	5.1592
3675	5.70242
1552	7.55707
2051	5.25547
1645	5.39898
1774	6.07602
2473	5.3731
5778	6.06402
1481	5.8525
2248	5.69571
1228	5.50594
2484	5.12906
1088	7.99212
1233	6.02256
1482	5.88096
2752	5.19792
1441	11.2365
3138	6.05676
1070	8.60907
1182	6.56762
1601	6.16218
1348	5.34092
1848	5.1716
1654	7.66409
1998	6.10782
2538	5.12978
1435	5.47274
2452	5.6197
1827	5.2533
1447	6.10858
36410	5.34317
5947	5.07271
28163	6.03688
20435	6.23701
1040	5.9009
13728	5.22325
17284	7.71172
5202	7.04931
6674	6.21486
6894	5.06315
3610	8.00482
7799	5.2789
1478	5.18644
2109	5.02696
10576	5.24831
16125	6.08079
1255	5.41976
1142	5.83717
5500	5.94113
5219	5.32567
17211	5.89113
7661	5.51641
18044	5.74668
1674	6.46332
1220	5.20763
13662	5.49037
4449	5.51211
5375	5.68228
3043	5.10055
2208	5.4081
4790	5.19173
4263	5.18392
3038	6.48727
10142	5.50234
1398	5.01256
4437	5.41374
2881	8.30978
8737	5.08188
4302	5.60603
10831	8.2446
27433	8.22923
10575	6.26816
10906	5.4348
4468	5.12263
3617	5.42769
2119	5.44304
4861	5.43944
28069	5.45853
11343	6.18675
37376	5.45829
2967	5.8961
7393	6.1256
6848	5.68633
3632	5.82192
11482	6.22633
3176	5.13943
1671	5.60885
7180	5.09966
2478	5.2761
8232	5.68169
5855	6.32606
10180	5.35253
6130	5.17544
1055	7.09771
6488	5.12129
11768	5.24489
1064	6.8721
3398	5.83072
2429	5.8561
5462	5.08625
8877	5.30507
5767	5.64414
12402	5.13761
10805	5.95023
18942	5.04525
15124	5.12228
8613	5.3264
2165	5.82984
1299	6.97797
3494	5.91194
3352	6.00737
2685	5.00364
7467	5.37959
1287	5.51544
1202	5.02249
2909	5.14068
1062	5.01408
1827	5.41301
3825	5.44876
2630	5.28667
2920	5.89381
8559	5.58091
1236	6.07552
2358	6.23916
3623	6.58234
1177	7.2648
4050	5.82866
1206	5.38534
3978	6.69941
1210	6.62441
1842	8.16447
2934	5.68627
1351	6.5807
1412	6.09607
1637	5.62111
2026	5.11229
4813	7.04648
9864	5.72425
3411	6.22631
4142	5.3027
3443	5.32892
15136	5.12982
3284	5.36017
35979	5.53462
16800	5.07158
11956	5.25436
17471	5.57783
4178	5.5075
7264	5.50118
33839	5.84555
19416	5.66235
6245	5.60776
11176	6.39947
2217	5.2439
2625	6.45189
4459	5.30292
1725	5.66156
3735	5.28165
2962	5.86437
1981	5.06145
4417	5.47681
2978	5.78088
1452	5.02651
7343	5.17518
7759	6.09592
4645	5.57684
13153	5.60799
2388	5.76372
1283	5.83491
10304	7.70375
12577	7.62251
7852	6.72652
6630	5.10617
17280	6.22177
19390	7.21644
3402	7.16457
13353	5.18073
1768	9.15374
17167	6.3522
5277	5.02096
9435	6.59586
14908	5.35949
6234	5.66988
1575	5.21008
3042	5.11428
20021	6.68414
