,C1,C2,C3,GFP1,GFP2,GFP3,YAF1,YAF2,YAF3
ENSG00000224029.1,63,43,43,37,26,20,21,27,12
ENSG00000226599.1,118,64,76,39,49,50,27,47,14
ENSG00000213089.4,521,469,322,317,409,274,226,252,76
ENSG00000120254.16,3345,2724,1909,2528,3365,2146,3595,3698,2181
ENSG00000218996.1,110,69,46,73,85,58,93,99,39
ENSG00000202119.1,26,14,10,6,18,9,18,14,9
ENSG00000232290.1,42,39,27,22,30,21,36,49,32
ENSG00000223598.1,18,17,11,13,13,16,18,22,16
ENSG00000219747.1,51,30,38,42,56,25,82,51,36
ENSG00000231883.1,2,0,2,0,2,2,0,0,0
ENSG00000238616.1,0,0,0,0,0,2,0,0,0
ENSG00000213087.3,4,0,0,2,0,0,7,2,2
ENSG00000131016.17,16895,11690,8961,9133,7523,6436,9044,9988,3540
ENSG00000252431.1,17,15,9,12,8,12,9,5,2
ENSG00000252487.1,10,9,6,4,5,12,6,4,1
ENSG00000223039.1,48,41,21,21,26,21,9,21,8
ENSG00000181472.5,1304,939,675,1592,2202,1158,1379,1252,522
ENSG00000252615.1,10,8,2,5,12,7,7,5,9
ENSG00000155906.20,1504,1023,862,1139,1264,961,1682,1634,911
ENSG00000219395.2,101,97,84,45,55,61,150,199,83
ENSG00000146476.11,1615,1112,881,1176,1194,878,1617,1448,771
ENSG00000120262.10,8,2,2,2,8,6,10,12,3
ENSG00000207422.1,0,0,1,0,0,0,0,0,0
ENSG00000091831.25,292,198,150,201,170,159,192,194,63
ENSG00000233823.1,1,0,0,0,0,0,0,0,0
ENSG00000287914.1,0,0,0,9,3,0,14,1,0
ENSG00000284615.1,22,4,2,9,5,4,13,7,4
ENSG00000131018.25,18381,12838,9619,11664,9775,8835,11448,11977,4643
ENSG00000234577.1,12,9,8,1,17,9,7,7,4
ENSG00000226193.1,6,8,5,4,3,0,4,9,2
ENSG00000202044.1,0,0,3,0,0,0,1,6,0
ENSG00000233464.2,8,0,0,6,2,0,4,19,0
ENSG00000120279.7,0,0,2,6,2,0,17,16,12
ENSG00000218792.2,0,0,0,0,0,0,2,0,0
ENSG00000146469.13,0,0,0,2,0,0,0,3,0
ENSG00000224893.7,2,0,0,0,0,0,0,0,0
ENSG00000217372.2,2,0,0,0,0,0,0,0,0
ENSG00000220745.2,0,0,0,0,0,0,0,0,0
ENSG00000112029.10,2689,1912,1299,1714,2243,1406,3038,2648,1415
ENSG00000227627.5,222,139,91,104,110,56,158,216,106
ENSG00000112031.16,1152,851,620,924,1071,610,852,862,378
ENSG00000091844.8,497,329,296,278,323,252,480,423,199
ENSG00000201939.1,0,0,0,0,0,0,0,0,0
ENSG00000213121.2,0,0,0,0,3,0,0,2,0
ENSG00000218426.5,314,318,178,300,248,84,617,470,249
ENSG00000237312.2,2,0,0,0,0,0,0,0,0
ENSG00000222806.1,0,0,0,0,0,0,0,0,0
ENSG00000217160.2,0,0,2,0,0,0,0,2,2
ENSG00000242246.2,0,0,0,0,0,0,0,0,0
ENSG00000218776.4,0,0,0,0,0,0,0,0,0
ENSG00000217044.1,0,0,0,0,0,0,0,0,0
ENSG00000220733.1,0,0,0,0,0,0,0,0,0
ENSG00000220514.1,0,0,0,0,0,0,0,0,0
ENSG00000216713.1,0,0,0,0,0,0,0,0,0
ENSG00000199246.1,0,0,0,0,0,0,0,0,0
ENSG00000217085.2,0,0,0,0,0,0,0,0,0
ENSG00000112038.18,36,37,22,13,11,18,2,6,6
ENSG00000074706.14,159,82,134,165,145,144,38,43,18
ENSG00000288520.1,0,0,0,0,0,0,0,0,0
ENSG00000237593.1,14,5,5,4,6,8,3,6,0
ENSG00000153721.19,6501,4672,3583,3771,2871,3020,2265,2378,1020
ENSG00000286553.1,262,207,184,162,111,144,101,141,53
ENSG00000287260.2,41,24,29,16,47,31,34,38,14
ENSG00000275419.1,2,0,0,0,0,0,0,0,0
ENSG00000220181.1,0,0,0,0,0,0,0,0,0
ENSG00000219146.1,0,0,0,0,0,0,0,0,0
ENSG00000231316.1,0,0,0,0,0,0,0,0,0
ENSG00000205625.2,0,0,0,4,0,0,2,0,0
ENSG00000213079.10,7882,5377,4078,5455,5718,4248,7027,6683,2922
ENSG00000200594.1,46,27,22,16,24,24,42,31,6
ENSG00000146426.19,537,421,335,527,722,415,555,525,255
ENSG00000218757.1,161,115,110,72,66,70,104,161,45
ENSG00000264814.1,16,9,10,6,10,11,11,14,31
ENSG00000238963.2,29,12,9,12,18,15,36,37,5
ENSG00000274451.1,9,6,0,8,5,1,4,2,2
ENSG00000235381.1,360,259,186,235,245,183,248,250,103
ENSG00000029639.11,948,775,568,676,770,559,648,737,344
ENSG00000171217.5,385,306,207,221,226,186,308,368,122
ENSG00000232529.1,0,0,0,0,0,0,0,0,0
ENSG00000074771.4,0,1,1,0,0,0,2,0,0
ENSG00000238789.1,0,0,0,0,0,0,0,0,0
ENSG00000287092.1,0,0,0,0,0,0,0,0,2
ENSG00000221456.1,0,0,0,0,0,0,0,0,0
ENSG00000285797.1,0,0,0,0,0,0,0,0,0
ENSG00000212295.1,0,0,0,0,0,0,0,0,0
ENSG00000289830.1,0,0,0,0,0,0,0,0,0
ENSG00000227360.2,1,0,2,0,2,0,0,0,0
ENSG00000220347.1,0,0,0,0,0,0,0,0,0
ENSG00000271265.1,42,19,20,22,28,12,8,5,0
ENSG00000049618.25,9627,7025,5404,6776,6845,5325,6063,6702,2142
ENSG00000271551.2,45,22,34,13,16,15,10,9,3
ENSG00000271899.1,8,11,1,10,9,3,3,4,2
ENSG00000270487.1,42,44,28,31,36,18,17,22,31
ENSG00000218596.2,143,75,74,80,58,53,87,153,25
ENSG00000288910.1,97,46,52,36,50,51,47,69,6
ENSG00000233044.1,37,44,23,37,31,17,25,34,13
ENSG00000215712.11,1082,859,672,763,593,621,729,788,385
ENSG00000217783.2,50,36,25,18,11,22,25,36,26
ENSG00000271040.1,18,21,9,11,18,9,21,20,10
ENSG00000213078.3,1,0,4,2,4,0,0,0,6
ENSG00000218631.1,6,4,2,3,0,2,6,0,0
ENSG00000286482.2,205,198,111,116,105,64,106,107,72
ENSG00000175048.17,1869,1414,1151,1221,1114,904,1177,1232,674
ENSG00000266617.1,9,3,5,7,2,2,3,4,8
ENSG00000130340.17,5653,4264,3068,3248,3419,2477,4044,3844,1726
ENSG00000234361.1,84,65,56,51,56,32,62,74,51
ENSG00000229502.5,107,56,57,48,60,36,72,75,51
ENSG00000236324.1,51,39,43,36,36,23,39,34,22
ENSG00000220867.1,67,55,35,36,15,15,45,60,27
ENSG00000252658.1,12,5,9,9,14,12,7,11,1
ENSG00000078269.15,24403,17782,14173,13147,13047,10447,18892,18644,8388
ENSG00000285642.1,73,70,58,58,46,56,83,78,26
ENSG00000233496.1,161,174,106,114,84,81,176,192,30
ENSG00000122335.17,5180,3854,2718,2892,2812,2548,1704,1719,767
ENSG00000272047.4,2413,1813,1164,1567,1339,1194,1458,1369,907
ENSG00000130338.13,30718,21567,16061,16577,15236,12474,11102,10966,4508
ENSG00000188451.8,852,653,546,512,645,403,396,458,185
ENSG00000274023.1,124,87,72,62,87,54,53,64,29
ENSG00000287591.1,597,428,315,388,390,339,265,324,115
ENSG00000238019.1,49,32,38,29,44,30,22,34,26
ENSG00000243373.3,113,66,53,46,68,53,34,46,33
ENSG00000219188.1,119,104,71,69,59,45,47,49,24
ENSG00000146433.10,7885,6003,4583,4405,3419,3562,5213,5181,2765
ENSG00000218226.1,906,854,571,765,510,600,960,1068,613
ENSG00000278571.1,0,0,0,0,0,0,0,0,0
ENSG00000146425.11,3248,2439,1807,1740,1509,1265,2495,2018,1693
ENSG00000164674.17,129,79,52,69,80,62,252,217,136
ENSG00000219249.2,6,2,8,2,7,6,1,3,0
ENSG00000265558.1,0,0,0,0,0,0,0,0,0
ENSG00000092820.19,13799,11130,7556,9377,11080,6921,11904,11747,5389
ENSG00000233893.2,34,17,12,6,6,5,15,21,12
ENSG00000243775.2,2,0,6,0,0,2,2,4,2
ENSG00000285159.1,0,1,0,2,2,0,1,1,1
ENSG00000203711.16,0,2,5,1,4,3,3,3,0
ENSG00000213076.3,2,1,0,2,0,2,0,0,0
ENSG00000223191.1,0,2,0,1,0,0,2,0,2
ENSG00000130363.13,2021,1550,1238,1182,1092,919,1458,1435,780
ENSG00000271913.9,95,84,57,61,41,45,103,138,28
ENSG00000164691.18,19,8,9,4,2,0,8,5,0
ENSG00000226032.2,0,0,0,0,0,0,0,0,0
ENSG00000288845.1,0,0,0,0,0,2,5,0,1
ENSG00000285492.2,2,0,2,4,4,2,0,6,1
ENSG00000224478.3,0,0,0,1,0,0,0,0,0
ENSG00000233682.3,0,0,0,0,0,0,0,0,0
ENSG00000164694.17,0,0,0,4,0,0,1,0,0
ENSG00000235086.1,0,0,0,0,0,0,0,0,0
ENSG00000231178.3,0,0,0,0,0,0,0,0,0
ENSG00000234777.3,0,0,0,0,0,0,0,0,0
ENSG00000286533.1,4,3,0,3,4,1,4,12,3
ENSG00000216480.2,1,0,1,2,4,0,1,0,0
ENSG00000276413.1,2,0,0,1,0,2,5,2,4
ENSG00000237927.1,16,6,18,0,10,4,18,22,19
ENSG00000291237.1,9982,7275,5246,5305,4404,4064,13602,12114,8649
ENSG00000220305.1,90,61,37,42,30,43,122,111,50
ENSG00000251988.1,44,19,14,11,16,13,28,38,2
ENSG00000146457.16,6364,4583,3656,4433,4957,3492,5578,4928,2553
ENSG00000285427.1,60,49,41,33,33,18,57,66,27
ENSG00000120437.9,1423,1446,828,943,1378,778,1775,1754,1394
ENSG00000120438.12,14864,11529,7789,9269,11823,7495,15841,15055,12413
ENSG00000207392.1,20,12,12,17,27,11,25,15,6
ENSG00000206910.1,41,15,30,22,36,21,32,34,8
ENSG00000112110.10,3220,2566,1784,2380,2978,1681,3746,3596,2104
ENSG00000146453.13,18,23,7,19,16,6,30,18,31
ENSG00000236823.2,0,0,0,0,0,0,0,2,0
ENSG00000130368.7,0,0,1,2,0,2,6,7,0
ENSG00000197081.16,36443,26607,19579,19642,15925,14100,27016,27710,11886
ENSG00000268257.2,174,150,107,142,117,113,208,232,136
ENSG00000213073.5,129,81,70,78,91,58,81,104,43
ENSG00000175003.15,124,67,53,71,94,88,100,145,73
ENSG00000216516.1,0,3,1,2,4,0,0,2,0
ENSG00000112499.13,0,0,0,0,0,0,8,2,0
ENSG00000230234.1,0,0,0,0,0,0,0,0,0
ENSG00000146477.6,12,5,14,7,19,12,15,15,18
ENSG00000287656.1,2,0,0,0,2,0,10,4,5
ENSG00000213071.12,1,0,0,0,0,2,2,0,0
ENSG00000290613.1,10,9,2,2,1,2,3,4,0
ENSG00000198670.12,0,0,1,0,5,0,0,0,0
ENSG00000243831.1,0,0,0,0,0,0,0,0,0
ENSG00000224477.5,0,0,0,0,0,0,0,1,0
ENSG00000122194.20,4,0,3,2,3,0,1,3,1
ENSG00000287558.1,0,2,1,0,8,2,10,10,0
ENSG00000276960.1,0,1,0,1,0,0,1,4,5
ENSG00000274903.1,0,0,0,0,0,0,0,0,0
ENSG00000224371.6,0,0,0,0,0,0,0,0,0
ENSG00000220913.1,0,0,0,0,0,0,0,0,0
ENSG00000233342.2,21,16,11,11,8,1,5,8,4
ENSG00000231863.2,66,38,33,39,21,21,11,20,4
ENSG00000272841.1,5973,4591,3078,3033,4018,2487,362,340,152
ENSG00000085511.20,10715,7806,5884,6241,6876,4819,3791,3992,1809
ENSG00000026652.15,5592,4159,3169,3258,2709,2567,2483,2778,1139
ENSG00000185345.24,77,38,32,38,82,40,36,84,27
ENSG00000286498.1,0,0,0,0,0,0,4,0,4
ENSG00000286805.1,43,36,13,26,47,27,10,4,6
ENSG00000227913.1,8,12,8,4,1,7,5,5,2
ENSG00000112530.12,14,11,2,7,1,0,1,11,1
ENSG00000217557.1,0,0,0,0,0,0,0,0,0
ENSG00000285610.1,0,0,0,0,0,0,0,0,0
ENSG00000225437.6,0,0,0,0,0,0,0,0,0
ENSG00000285553.1,0,0,6,0,0,0,0,0,0
ENSG00000225683.6,0,2,1,0,2,0,3,0,4
ENSG00000281692.3,6,0,0,4,0,2,0,8,0
ENSG00000285564.2,2,6,2,2,6,0,8,12,4
ENSG00000285726.1,1,2,0,0,0,0,2,2,0
ENSG00000217514.1,0,0,0,0,0,0,0,0,0
ENSG00000270419.2,104,76,65,54,52,42,84,76,57
ENSG00000112531.17,35024,24133,18623,19823,16944,15884,14672,13826,6372
ENSG00000228692.2,36,24,24,14,18,13,19,17,7
ENSG00000235538.5,2,0,0,0,0,0,0,0,2
ENSG00000285858.1,0,0,0,0,0,0,0,0,0
ENSG00000266128.2,0,0,0,0,0,0,0,0,0
ENSG00000288696.3,0,0,0,0,0,0,12,2,2
ENSG00000286573.1,0,2,0,1,3,0,4,0,2
ENSG00000260422.1,71,31,22,19,35,24,36,35,8
ENSG00000230627.1,3,0,0,2,1,0,1,1,0
ENSG00000288584.1,6,6,2,2,0,0,2,0,2
ENSG00000288648.1,2,4,5,4,0,0,1,2,2
ENSG00000226739.1,0,0,0,0,1,0,0,0,0
ENSG00000287550.1,24,9,24,12,14,8,31,57,6
ENSG00000227455.3,0,0,0,0,0,0,0,0,0
ENSG00000287877.1,2,1,0,0,0,0,0,0,0
ENSG00000217878.2,0,0,0,0,0,0,0,0,0
ENSG00000112539.15,8,0,0,0,2,0,2,2,4
ENSG00000112541.19,220,198,93,170,212,133,360,358,162
ENSG00000199523.1,0,0,0,0,0,0,0,2,0
ENSG00000206681.1,0,0,0,0,0,1,0,0,0
ENSG00000236627.1,0,1,0,1,0,0,1,0,2
ENSG00000223942.2,0,0,0,1,0,2,2,0,0
ENSG00000281832.1,0,0,0,0,0,0,4,0,4
ENSG00000216624.3,12,4,4,6,6,2,3,4,8
ENSG00000287824.1,0,0,0,0,0,0,0,0,0
ENSG00000231297.3,0,0,0,0,0,0,0,0,0
ENSG00000276643.1,0,0,0,0,0,0,0,0,0
ENSG00000164458.10,0,0,0,0,0,0,0,0,0
ENSG00000288638.1,0,0,0,0,0,0,0,0,0
ENSG00000201292.1,0,0,0,0,0,0,0,0,0
ENSG00000280991.1,0,0,0,0,0,0,0,0,0
ENSG00000233365.2,0,0,0,0,0,0,2,1,0
ENSG00000213536.2,0,0,0,0,0,0,0,0,0
ENSG00000280850.3,0,0,0,0,0,0,0,0,0
ENSG00000176381.6,2,0,0,0,4,0,6,6,0
ENSG00000287189.2,18,8,4,2,2,8,12,15,0
ENSG00000198818.10,1638,1202,892,1004,897,718,1371,1155,1082
ENSG00000233231.1,249,230,154,128,144,103,276,223,82
ENSG00000286760.3,67,51,50,62,78,36,72,46,32
ENSG00000060762.19,775,633,393,439,475,370,907,760,327
ENSG00000261420.1,42,34,21,11,11,11,20,20,20
ENSG00000280057.1,26,13,10,15,7,2,15,12,4
ENSG00000071242.12,582,543,332,487,362,325,351,434,183
ENSG00000232082.1,18,11,5,6,8,2,8,12,2
ENSG00000222958.1,4,0,0,1,1,4,2,0,0
ENSG00000235272.3,49,29,44,18,26,26,28,45,21
ENSG00000287690.1,3,4,7,0,0,2,0,2,0
ENSG00000235008.1,2,8,4,2,0,1,2,4,8
ENSG00000249141.1,0,0,0,4,0,0,1,2,0
ENSG00000231654.1,5,6,7,5,5,12,12,15,0
ENSG00000026297.17,704,666,495,485,378,330,736,784,548
ENSG00000227598.1,98,62,45,58,85,55,120,120,58
ENSG00000285730.1,181,141,106,87,138,112,242,209,160
ENSG00000265828.1,8,3,2,8,3,3,14,21,11
ENSG00000213066.14,2413,1759,1444,1496,1244,1206,2748,2866,1430
ENSG00000272980.5,0,0,0,0,0,0,0,0,0
ENSG00000112486.18,0,0,7,0,2,2,3,4,0
ENSG00000284825.1,9,3,3,4,9,0,4,5,2
ENSG00000284914.1,3,2,0,0,2,1,4,8,4
ENSG00000291286.1,0,0,0,0,2,0,4,0,0
ENSG00000120436.4,0,0,0,0,2,2,0,2,0
ENSG00000286674.1,0,0,0,0,0,0,0,0,0
ENSG00000166984.14,0,0,0,0,0,0,0,2,0
ENSG00000291241.1,0,0,0,0,0,0,0,0,0
ENSG00000216966.1,0,0,0,0,0,0,1,0,0
ENSG00000280707.3,0,0,0,0,0,0,0,0,0
ENSG00000231720.1,0,0,0,0,0,0,0,0,0
ENSG00000228648.1,0,0,0,0,0,0,1,0,0
ENSG00000112494.10,0,2,0,0,4,0,7,17,8
ENSG00000120440.15,0,0,0,0,0,2,1,4,4
ENSG00000217447.1,0,2,0,0,0,0,1,0,2
ENSG00000290751.1,0,0,0,0,0,0,0,0,0
ENSG00000203690.14,0,0,0,0,0,0,0,0,0
ENSG00000287297.1,1,0,0,0,0,0,0,1,0
ENSG00000272549.1,0,0,0,0,6,0,7,3,1
ENSG00000287594.3,1,0,0,0,0,0,6,2,3
ENSG00000203688.6,2,4,2,3,8,6,10,10,4
ENSG00000289838.1,0,0,0,0,0,0,4,6,4
ENSG00000213065.2,0,6,0,0,0,0,0,6,6
ENSG00000146521.12,0,4,2,0,0,1,13,12,6
ENSG00000269155.2,0,0,0,2,2,0,36,32,11
ENSG00000285212.2,1,0,0,0,0,0,2,1,0
ENSG00000198221.12,30,29,23,17,20,20,147,160,80
ENSG00000130396.22,10251,7471,5536,6247,6068,4963,14535,13828,6829
ENSG00000235994.4,7,0,4,0,6,0,5,10,6
ENSG00000229921.7,0,0,2,0,2,0,2,2,4
ENSG00000125337.21,4,0,0,4,5,0,17,18,28
ENSG00000153303.18,0,4,2,0,2,2,63,61,23
ENSG00000234768.1,0,0,0,0,0,0,2,3,0
ENSG00000287056.1,0,0,0,0,0,0,0,0,0
ENSG00000237987.1,0,0,0,0,0,0,0,0,0
ENSG00000228361.2,0,0,0,0,0,0,0,0,0
ENSG00000234647.2,0,0,0,0,0,0,0,0,0
ENSG00000230711.2,2,0,0,0,0,2,8,2,6
ENSG00000164488.12,0,0,0,2,2,0,2,0,0
ENSG00000224417.2,0,0,0,0,0,0,0,0,2
ENSG00000260771.1,0,0,0,0,0,0,0,2,2
ENSG00000112562.20,10,14,6,6,2,2,14,2,0
ENSG00000235815.1,0,0,0,0,0,0,1,1,0
ENSG00000289090.1,0,0,0,1,0,0,1,0,0
ENSG00000280665.1,0,0,0,0,0,0,2,0,0
ENSG00000225879.2,0,0,0,2,0,0,0,2,0
ENSG00000285917.1,0,0,0,0,0,0,0,2,0
ENSG00000279810.1,0,0,0,0,0,0,0,0,2
ENSG00000229720.1,1,0,0,0,3,0,4,0,0
ENSG00000234519.2,0,0,0,1,0,0,0,0,0
ENSG00000286826.1,10,0,1,2,4,2,2,2,4
ENSG00000223485.5,128,95,84,78,87,90,189,161,88
ENSG00000261039.3,64,38,37,51,30,38,65,75,11
ENSG00000226445.2,468,322,259,224,121,167,306,339,134
ENSG00000186340.17,8657,6720,5001,4035,2171,2863,6964,7271,2819
ENSG00000233085.5,0,2,0,1,0,0,2,0,0
ENSG00000224999.1,0,0,0,0,0,2,2,2,0
ENSG00000226194.6,12,3,6,4,4,13,7,6,0
ENSG00000285887.1,6,6,8,1,0,2,6,7,1
ENSG00000285733.1,5,0,0,0,1,0,1,0,0
ENSG00000272848.2,79,17,27,29,7,14,21,51,33
ENSG00000184465.16,1621,1324,978,1042,687,825,1637,1694,796
ENSG00000185127.7,1996,1624,1226,1304,1160,938,1411,1126,940
ENSG00000130024.15,4447,2941,2453,2448,1898,1796,3558,3118,1642
ENSG00000227704.3,26,13,12,19,6,2,13,6,4
ENSG00000232640.1,0,0,0,0,0,0,0,0,0
ENSG00000184786.6,18,15,8,4,2,6,11,17,10
ENSG00000130023.16,1361,1072,833,823,494,711,1188,1222,775
ENSG00000266896.1,157,151,117,108,56,65,143,179,58
ENSG00000229214.2,24,34,10,14,28,23,34,15,23
ENSG00000231690.5,13,10,10,13,6,2,17,42,11
ENSG00000236173.1,2,2,0,0,0,0,0,2,0
ENSG00000287823.1,0,0,0,0,0,0,2,9,2
ENSG00000288162.1,2,0,0,0,1,0,2,0,0
ENSG00000289623.2,0,0,0,0,0,0,4,8,0
ENSG00000287407.1,0,0,2,0,3,0,4,3,3
ENSG00000232197.3,0,0,0,0,0,0,0,0,2
ENSG00000230960.3,0,0,0,0,0,0,8,20,2
ENSG00000288959.1,0,0,0,0,0,0,0,2,2
ENSG00000273100.1,0,0,0,0,0,0,4,1,0
ENSG00000218716.1,0,0,0,0,0,0,5,0,2
ENSG00000271820.1,0,0,0,0,0,0,2,1,0
ENSG00000227508.6,0,0,0,0,0,0,4,4,0
ENSG00000198719.9,38,28,18,22,46,25,340,297,119
ENSG00000112584.14,5686,4053,3090,3496,3380,2780,4818,4889,2222
ENSG00000271234.1,7,2,0,4,2,5,4,5,6
ENSG00000266245.1,42,33,24,17,14,16,39,32,20
ENSG00000261003.1,32,36,31,26,26,26,44,68,22
ENSG00000288970.1,4,9,0,8,8,10,6,0,10
ENSG00000288829.1,123,93,61,61,57,46,89,53,45
ENSG00000008018.9,7794,6277,4487,5016,4655,3659,7853,7913,3896
ENSG00000112592.15,1317,965,667,993,1016,793,1275,1364,413
ENSG00000071994.11,3629,2761,1901,2292,2468,1753,2911,2695,1859
ENSG00000287411.1,0,0,0,2,0,0,0,0,0
ENSG00000230423.3,2,1,0,0,0,0,0,0,0
ENSG00000217874.2,0,0,0,0,0,0,0,0,0
ENSG00000273640.1,0,0,0,0,0,0,0,0,0
ENSG00000234986.1,0,0,0,0,0,0,0,0,0
ENSG00000225532.1,0,0,0,0,0,0,0,0,0
ENSG00000219814.2,0,0,0,0,0,0,0,0,0
ENSG00000283061.1,0,0,0,0,0,0,0,0,0
ENSG00000282572.4,3,7,6,5,3,1,12,16,9
ENSG00000273644.1,0,0,2,0,0,0,0,0,0
ENSG00000232325.4,72,78,58,29,30,18,32,37,5
ENSG00000242611.2,45,42,25,11,4,21,54,49,10
ENSG00000287883.1,12,2,0,2,1,0,3,4,3
ENSG00000242474.3,188,109,83,62,60,75,277,169,155
ENSG00000240859.3,16,16,6,4,16,4,36,42,16
ENSG00000261795.1,0,4,4,0,0,0,117,86,30
ENSG00000239715.1,0,0,0,0,0,0,1,5,0
ENSG00000240093.1,94,69,67,52,54,37,123,141,58
ENSG00000177706.9,12918,10807,8102,6084,5713,4619,9633,10837,6249
ENSG00000249852.1,624,463,429,292,230,267,565,730,360
ENSG00000248767.2,0,0,0,0,0,0,0,2,3
ENSG00000287342.1,0,2,0,0,0,0,13,4,2
ENSG00000249574.1,0,2,0,0,0,0,4,14,3
ENSG00000286710.1,4,4,2,4,8,6,69,82,43
ENSG00000286764.1,4,0,2,0,0,6,48,20,16
ENSG00000234471.1,6,0,2,4,2,1,9,2,9
ENSG00000197461.13,1032,980,638,656,837,485,3159,3258,1737
ENSG00000223855.4,125,124,90,46,28,58,201,176,80
ENSG00000188191.16,480,376,304,359,305,179,889,863,702
ENSG00000229380.1,5,4,0,5,4,2,12,11,5
ENSG00000237181.2,51,37,37,37,69,31,111,83,42
ENSG00000164818.16,4697,3806,2445,2414,2987,2049,5172,4831,3159
ENSG00000164828.18,8606,6773,4905,4831,4201,3841,8800,8753,4041
ENSG00000239857.7,1524,1359,957,1517,1803,1166,2524,2561,1473
ENSG00000273151.1,587,421,396,356,258,328,845,949,505
ENSG00000105963.15,71,47,24,50,94,39,255,266,99
ENSG00000240230.6,1214,1061,797,948,930,742,1085,1307,682
ENSG00000073067.14,53,30,41,18,41,44,35,54,28
ENSG00000146540.15,3048,2909,1775,2321,2684,1798,3621,3473,2883
ENSG00000199023.3,22,20,4,6,11,16,25,19,16
ENSG00000225146.1,48,22,23,27,40,19,75,60,48
ENSG00000164849.10,46,40,34,43,37,30,85,96,48
ENSG00000257607.1,0,0,0,0,0,0,0,0,0
ENSG00000224079.1,41,53,68,34,50,54,95,160,51
ENSG00000226291.1,42,23,19,17,41,29,51,88,27
ENSG00000164850.16,480,442,298,413,380,293,717,797,382
ENSG00000178381.12,891,654,396,651,982,462,855,769,496
ENSG00000229043.3,724,538,376,316,307,266,720,791,351
ENSG00000164853.9,0,0,0,0,0,0,4,14,6
ENSG00000233082.1,0,0,0,0,0,0,0,0,0
ENSG00000164877.19,3530,3014,2231,2536,1717,1992,3629,4356,1908
ENSG00000225981.3,65,58,22,44,15,34,77,53,46
ENSG00000273230.1,506,498,330,332,226,246,526,605,231
ENSG00000164880.16,11268,9867,6679,6635,6406,5032,10247,11764,6212
ENSG00000231927.1,5,5,1,3,0,4,4,3,4
ENSG00000198517.10,3278,2971,2173,2619,2546,2070,2787,3115,1793
ENSG00000164855.16,354,363,221,281,274,197,821,808,442
ENSG00000157778.9,1207,1239,774,1024,1395,728,1439,1386,1052
ENSG00000230487.9,622,394,384,330,228,273,516,466,223
ENSG00000230444.1,2,0,0,2,0,0,2,8,0
ENSG00000231476.1,0,0,0,0,0,0,2,1,0
ENSG00000225968.8,2,0,0,2,4,1,52,53,20
ENSG00000234977.1,0,0,0,0,0,0,6,4,0
ENSG00000205971.3,0,0,0,0,1,0,9,0,2
ENSG00000236081.1,7,8,6,0,0,2,19,25,10
ENSG00000002822.16,20,26,18,14,10,11,35,30,8
ENSG00000286192.1,319,357,232,277,380,195,403,405,251
ENSG00000176349.11,219,133,132,102,124,89,161,291,106
ENSG00000265089.1,9,3,3,8,6,4,10,5,2
ENSG00000122687.19,9,3,9,6,6,4,1,14,7
ENSG00000106268.16,429,428,241,355,411,237,620,723,409
ENSG00000106266.11,3162,2928,1906,2180,2429,1588,3274,3465,1826
ENSG00000284047.1,2,5,1,1,5,7,6,3,0
ENSG00000271098.1,36,31,19,23,38,22,60,53,23
ENSG00000106263.19,12368,11210,7178,8455,10715,6324,16583,16765,12128
ENSG00000230914.3,11,11,9,12,6,5,29,45,26
ENSG00000271163.1,2,2,0,2,2,3,3,8,0
ENSG00000136213.10,2940,2540,1808,1805,1601,1388,2995,3166,1757
ENSG00000275572.2,17,11,8,7,4,3,5,16,2
ENSG00000106003.14,399,455,253,245,211,193,697,839,443
ENSG00000264357.1,5,6,6,5,2,2,10,6,2
ENSG00000106009.16,3291,3214,1953,2098,2465,1633,3360,3409,2867
ENSG00000106012.18,3336,2688,2011,1942,1857,1465,2988,3104,1353
ENSG00000289352.2,3,10,10,3,4,0,3,13,0
ENSG00000136295.16,29087,25409,17695,14977,12806,10827,24893,26613,11947
ENSG00000288792.1,137,110,50,84,72,79,184,250,81
ENSG00000174945.14,428,332,287,271,283,236,1614,1738,759
ENSG00000146535.14,8760,6916,4794,4737,5022,3509,9532,8976,4764
ENSG00000231357.1,54,38,34,17,24,21,91,61,7
ENSG00000198286.11,2,1,7,0,2,2,32,23,16
ENSG00000237286.1,0,0,0,0,0,0,0,1,0
ENSG00000201794.1,0,0,0,0,0,0,0,0,0
ENSG00000228334.3,0,1,0,2,0,0,0,2,0
ENSG00000217455.8,4,2,2,0,1,2,4,0,0
ENSG00000231892.1,6,3,1,4,1,0,2,3,0
ENSG00000236708.1,66,50,42,24,22,32,43,48,29
ENSG00000146555.20,6080,4672,3237,3780,3500,2804,4233,4460,1485
ENSG00000224593.1,109,84,85,72,32,55,113,127,16
ENSG00000236510.1,116,48,80,45,59,50,62,70,12
ENSG00000283991.1,26,26,24,21,23,25,18,29,13
ENSG00000261809.1,0,0,0,0,0,0,0,0,0
ENSG00000286874.1,18,6,13,6,3,0,29,28,9
ENSG00000164916.11,11972,9774,6872,7683,9003,6254,13836,14062,6432
ENSG00000287665.1,321,229,209,229,227,175,400,484,265
ENSG00000242802.9,2865,2620,1830,2623,2558,2135,4920,5383,2684
ENSG00000264474.1,6,17,9,10,4,1,17,23,8
ENSG00000287541.1,0,0,0,0,0,0,0,0,0
ENSG00000157927.17,20,28,13,16,11,20,92,106,62
ENSG00000206895.1,0,1,0,2,0,0,2,4,0
